"id"	"space"	"start"	"end"	"wilcoxon.p.value"	"hyper?"	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"TSS near"	"pos"	"strand"	"distance"
"480.chr1.50884228"	"chr1"	50884229	50891471	1.70141512872959e-07	TRUE	2.92547647939137e-06	11	0.428571428571429	23.4940234708046	4.74963783719724	167.819998463876	"p32.3"	FALSE	"DMRTA2"	50885406	"-"	0
"60.chr1.50892437"	"chr1"	50892438	50893243	9.13855124933101e-07	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	-3319
"561.chr1.63782394"	"chr1"	63782395	63790471	1.08609886729845e-09	TRUE	0.000756429149077466	17	1.22222222222222	13.131566777829	2.25741453598138	143.153570006636	"p31.3"	FALSE	"LINC00466"	63782901	"-"	0
"28.chr1.75595813"	"chr1"	75595814	75596162	1.4410853561162e-08	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"p31.1"	FALSE	"LHX8"	75595911	"+"	0
"81.chr1.75601998"	"chr1"	75601999	75602878	1.78159704899396e-06	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"p31.1"	FALSE	"LHX8"	75602288	"+"	0
"124.chr1.91183240"	"chr1"	91183241	91184540	2.47782428124e-07	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"p22.2"	TRUE	"ZNF644"	91382547	"-"	198007
"36.chr1.91185156"	"chr1"	91185157	91185577	6.82030842905097e-08	TRUE	6.38223082120995e-06	5	0.25	18.5141917044458	4.18714346256947	106.068259550665	"p22.2"	TRUE	"ZNF644"	91382547	"-"	196970
"147.chr1.91190489"	"chr1"	91190490	91192804	1.29417572323999e-09	TRUE	1.01668433243499e-09	11	0.111111111111111	82.7592204733749	12.402490582449	1063.95099285836	"p22.2"	TRUE	"ZNF644"	91382547	"-"	189743
"264.chr1.110610265"	"chr1"	110610266	110613303	1.08609886729845e-09	TRUE	1.4159237758533e-05	17	0.666666666666667	23.5438184160191	4.11792156688633	256.261292193752	"p13.3"	FALSE	"ALX3"	110613322	"-"	19
"190.chr1.111216244"	"chr1"	111216245	111217937	1.59722716158885e-06	TRUE	1	35	19	1.82100145681964	0.0223044726145793	148.479276099894	"p13.3"	FALSE	"KCNA3"	111217655	"-"	0
"36.chr1.111813411"	"chr1"	111813412	111813853	6.47142211496392e-07	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"p13.2"	FALSE	"CHI3L2"	111785839	"+"	27573
"35.chr1.119526782"	"chr1"	119526783	119527192	4.90702577662228e-09	TRUE	5.84298090101592e-05	11	0.666666666666667	15.4133870635268	3.20003387695271	105.761788911298	"p12"	TRUE	"TBX15"	119532179	"-"	4987
"19.chr1.119531991"	"chr1"	119531992	119532196	2.58264151450318e-08	TRUE	8.31693457786914e-08	11	0.25	39.0030854681334	7.2979490534794	308.877611977199	"p12"	TRUE	"TBX15"	119532179	"-"	0
"36.chr1.119535666"	"chr1"	119535667	119535987	1.15746217198175e-07	TRUE	2.54122776916202e-08	4.14285714285714	0.0526315789473684	70.4890519842793	8.68230189389187	3301.23298905306	"p12"	TRUE	"TBX15"	119532179	"-"	-3488
"32.chr1.119543056"	"chr1"	119543057	119543454	2.16340206159327e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p12"	TRUE	"TBX15"	119532179	"-"	-10878
"75.chr1.121260857"	"chr1"	121260858	121261525	1.43079778931587e-06	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p11.2"	FALSE	"SRGAP2D"	121129495	"+"	131363
"37.chr1.146543987"	"chr1"	146543988	146544439	1.78159704899396e-06	TRUE	9.58298247712e-08	3.5	0.0526315789473684	60.2886057931336	7.55088948205361	2804.52138894319	"q21.1"	FALSE	"NBPF10"	146465878	"+"	78110
"20.chr1.146552328"	"chr1"	146552329	146552577	2.47782428124e-07	TRUE	1.42230466837021e-05	4.14285714285714	0.25	15.4755921086165	3.60626335920674	85.0912735281676	"q21.1"	FALSE	"PRKAB2"	146631221	"-"	78644
"46.chr1.149156106"	"chr1"	149156107	149156671	1.43079778931587e-06	TRUE	1.40710934642703e-06	6.2	0.25	22.7058056174634	4.9300587922517	137.481358099127	"q21.2"	TRUE	"PPIAL4F"	148806015	"+"	350092
"131.chr1.152079997"	"chr1"	152079998	152081705	6.82030842905097e-08	TRUE	0.00706714668978821	17	1.85714285714286	8.74563673605781	1.42378909331792	97.0055067552898	"q21.3"	FALSE	"TCHH"	152085554	"-"	3849
"72.chr1.161368863"	"chr1"	161368864	161369932	7.79767546671455e-08	TRUE	2.54122776916202e-08	4.14285714285714	0.0526315789473684	70.4890519842793	8.68230189389187	3301.23298905306	"q23.3"	FALSE	"C1orf192"	161337673	"-"	-31191
"49.chr1.165321703"	"chr1"	165321704	165322318	1.01579992815092e-07	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"q23.3"	FALSE	"LMX1A"	165322499	"-"	181
"29.chr1.165323486"	"chr1"	165323487	165323811	3.5550811932381e-09	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q23.3"	FALSE	"LMX1A"	165322499	"-"	-988
"181.chr1.165324191"	"chr1"	165324192	165326328	2.47782428124e-07	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"q23.3"	FALSE	"LMX1A"	165324818	"-"	0
"20.chr1.169396621"	"chr1"	169396622	169396869	5.95856261328925e-08	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q24.2"	FALSE	"CCDC181"	169396670	"-"	0
"42.chr1.175568376"	"chr1"	175568377	175568808	1.02351262850619e-06	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"q25.1"	FALSE	"TNR"	175497505	"-"	-70872
"23.chr1.177140120"	"chr1"	177140121	177140323	2.80301082625901e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q25.2"	FALSE	"BRINP2"	177140633	"+"	-310
"459.chr1.180198119"	"chr1"	180198120	180204975	1.02351262850619e-06	TRUE	1.88840702153175e-05	3	0.176470588235294	15.9464438079173	3.51615291749782	104.946553689114	"q25.2"	FALSE	"LHX4"	180199433	"+"	0
"27.chr1.197890478"	"chr1"	197890479	197890824	3.16778322047639e-07	TRUE	9.28699433333137e-07	3.5	0.111111111111111	28.96665481259	5.31276612195656	307.598507732361	"q31.3"	TRUE	"LHX9"	197890434	"+"	45
"43.chr1.221050448"	"chr1"	221050449	221050864	1.78159704899396e-06	TRUE	0.000412454156483355	5	0.538461538461538	8.82625042274583	2.23306549043218	40.2975898181426	"q41"	FALSE	"HLX"	221052743	"+"	-1879
"49.chr1.221064889"	"chr1"	221064890	221065600	4.18033516498383e-09	TRUE	5.08781262506834e-08	8	0.176470588235294	40.1613122451965	7.56080412393462	316.908516069481	"q41"	FALSE	"HLX"	221057537	"+"	7353
"245.chr1.229567206"	"chr1"	229567207	229570684	4.90702577662228e-09	TRUE	5.8429809010159e-05	17	0.818181818181818	19.3327155784523	3.3880860519688	209.797459654033	"q42.13"	FALSE	"ACTA1"	229567389	"-"	0
"126.chr1.234040298"	"chr1"	234040299	234041457	4.53176596162093e-08	TRUE	1.74481967473321e-09	6.2	0.0526315789473684	101.726253944959	11.9032994887592	4855.96723552285	"q42.2"	FALSE	"SLC35F3"	234040679	"+"	0
"170.chr1.237205126"	"chr1"	237205127	237206644	2.18820695414927e-07	TRUE	2.54122776916202e-08	4.14285714285714	0.0526315789473684	70.4890519842793	8.68230189389187	3301.23298905306	"q43"	FALSE	"RYR2"	237205702	"+"	0
"101.chr1.248020330"	"chr1"	248020331	248021252	4.03435779707258e-07	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q44"	FALSE	"TRIM58"	248020501	"+"	0
"418.chr10.7449376"	"chr10"	7449377	7455339	4.54646965381304e-07	TRUE	0.0560232220609579	11	2.33333333333333	4.56980309846983	0.835964355529093	32.2986160266692	"p33"	FALSE	"TAL1"	47698007	"-"	0
"509.chr10.8091374"	"chr10"	8091375	8098329	1.24114430676944e-08	TRUE	3.73790321530768e-07	8	0.25	28.8842089389859	5.91697695425833	191.750363384091	"p32.3"	FALSE	"DMRTA2"	50885406	"-"	3303
"255.chr10.50602989"	"chr10"	50602990	50606783	3.42979695078058e-08	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"p32.3"	FALSE	"DMRTA2"	50889119	"-"	-4350
"36.chr10.57388068"	"chr10"	57388069	57388528	5.11887290861639e-07	TRUE	7.24055079234573e-07	5	0.176470588235294	25.8897653843047	5.34696875471149	182.784234213691	"p31.3"	FALSE	"LINC00466"	63782901	"-"	-12463
"40.chr10.63212495"	"chr10"	63212496	63213009	4.03435779707258e-07	TRUE	5.54138517417087e-06	1.4	0	Inf	5.53101801676002	Inf	"p22.2"	TRUE	"ZNF644"	91382547	"-"	80656
"39.chr10.88296170"	"chr10"	88296171	88296619	8.15253553205288e-07	TRUE	4.89013219097256e-06	2	0.0526315789473684	35.5283337343948	4.61655516798264	1626.86443587111	"p12"	TRUE	"TBX15"	119532179	"-"	9541
"34.chr10.94451329"	"chr10"	94451330	94451737	2.18820695414927e-07	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"q24.2"	FALSE	"PRRX1"	170633313	"+"	-2462
"46.chr10.102419147"	"chr10"	102419148	102419668	1.78159704899396e-06	TRUE	0.00011876086193964	4.14285714285714	0.333333333333333	11.7138225109284	2.89006976934853	57.170299001202	"q32.2"	FALSE	"CR1"	207812742	"+"	30064
"295.chr10.106399567"	"chr10"	106399568	106402812	4.90702577662228e-09	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q32.3"	FALSE	"PROX1"	214161844	"+"	-8176
"275.chr10.118030732"	"chr10"	118030733	118034230	8.9049010059537e-08	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q32.3"	FALSE	"PROX1"	214161844	"+"	-2764
"313.chr10.119301321"	"chr10"	119301322	119305368	6.82030842905097e-08	TRUE	2.23376456634405e-06	8	0.333333333333333	21.9877321105056	4.73996927920641	133.712465582352	"q42.12"	FALSE	"CNIH3"	224804179	"+"	1230
"97.chr11.14926471"	"chr11"	14926472	14927770	8.15253553205288e-07	TRUE	0.0250869430315436	11	1.85714285714286	5.71125223022951	1.09970360456352	39.5280150756096	"q43"	FALSE	"CHRM3"	240070733	"+"	184227
"87.chr11.20181200"	"chr11"	20181201	20182325	4.03435779707258e-07	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"p14"	FALSE	"SFMBT2"	7453448	"-"	0
"98.chr11.31820060"	"chr11"	31820061	31821416	1.82643231877087e-09	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"p14"	FALSE	"GATA3"	8096667	"+"	0
"81.chr11.31825743"	"chr11"	31825744	31826967	6.72796175443373e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q11.23"	FALSE	"ERCC6"	50667280	"-"	60497
"54.chr11.31841315"	"chr11"	31841316	31842003	1.93049976864389e-07	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q21.1"	FALSE	"MTRNR2L5"	57358750	"+"	29319
"188.chr11.32454874"	"chr11"	32454875	32457311	4.03435779707258e-07	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"q21.2"	TRUE	"TMEM26"	63213208	"-"	199
"41.chr11.32460586"	"chr11"	32460587	32461004	1.02351262850619e-06	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q23.2"	TRUE	"WAPAL"	88281541	"-"	-14630
"61.chr11.43602545"	"chr11"	43602546	43603215	9.13855124933101e-07	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"q23.33"	FALSE	"KIF11"	94413422	"+"	37908
"55.chr11.44327240"	"chr11"	44327241	44327932	1.31745599853161e-07	TRUE	0.000136489148492695	1.25	0.0526315789473684	22.5817667944483	2.96624891994402	1029.08404937953	"q24.31"	TRUE	"HIF1AN"	102307850	"+"	111298
"75.chr12.6664425"	"chr12"	6664426	6665336	4.54646965381304e-07	TRUE	3.73790321530768e-07	8	0.25	28.8842089389859	5.91697695425833	191.750363384091	"q25.1"	FALSE	"SORCS3"	106400859	"+"	0
"90.chr12.22093954"	"chr12"	22093955	22095357	8.92245289235702e-11	TRUE	2.25428898544344e-12	11	0	Inf	29.9202983037254	Inf	"q25.3"	FALSE	"GFRA1"	118031819	"-"	0
"70.chr12.25055599"	"chr12"	25055600	25056246	1.09982826368297e-10	TRUE	2.25428898544344e-12	11	0	Inf	29.9202983037254	Inf	"q26.11"	FALSE	"EMX2"	119301956	"+"	0
"67.chr12.30975385"	"chr12"	30975386	30976292	3.57660215572434e-07	TRUE	2.7365982125863e-06	2.27272727272727	0.0526315789473684	40.1378416907415	5.18357947503321	1842.82928293285	"p12.1"	FALSE	"GPR158-AS1"	25465205	"-"	0
"126.chr12.43944719"	"chr12"	43944720	43946285	8.9049010059537e-08	TRUE	4.95217062583074e-05	8	0.538461538461538	13.9025158255254	3.15489681856211	77.7256183027875	"q21.1"	FALSE	"MTRNR2L5"	57358750	"+"	31594
"42.chr12.50426552"	"chr12"	50426553	50426918	1.49796100357441e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q23.33"	FALSE	"IDE"	94214296	"-"	33542
"32.chr12.52115410"	"chr12"	52115411	52115679	1.93449969959129e-08	TRUE	1.74481967473321e-09	6.2	0.0526315789473684	101.726253944959	11.9032994887592	4855.96723552285	"q23.33"	FALSE	"CYP26C1"	94828077	"+"	5196
"22.chr12.54071053"	"chr12"	54071054	54071265	6.82030842905097e-08	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q24.31"	TRUE	"MIR608"	102734742	"+"	-144340
"94.chr12.54354529"	"chr12"	54354530	54355491	9.13855124933101e-07	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q24.31"	TRUE	"TLX1"	102896448	"+"	3375
"25.chr12.54360374"	"chr12"	54360375	54360660	1.2806757144433e-06	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q24.31"	TRUE	"LBX1"	102987547	"-"	0
"31.chr12.54423427"	"chr12"	54423428	54423712	2.58264151450318e-08	TRUE	1.74481967473321e-09	6.2	0.0526315789473684	101.726253944959	11.9032994887592	4855.96723552285	"q25.1"	FALSE	"SORCS1"	108924466	"-"	-749731
"79.chr12.54440642"	"chr12"	54440643	54441543	3.5550811932381e-09	TRUE	1.35257339126606e-11	8	0	Inf	24.1162335546797	Inf	"q25.3"	FALSE	"MIR3663"	118927285	"-"	34646
"30.chr12.54447744"	"chr12"	54447745	54448091	6.33606678873053e-10	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"p15.2"	TRUE	"CYP2R1"	14913751	"-"	-12721
"119.chr12.62584768"	"chr12"	62584769	62586268	2.46121005685715e-10	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"p15.1"	FALSE	"DBX1"	20181870	"-"	0
"121.chr12.63543636"	"chr12"	63543637	63544967	1.93449969959129e-08	TRUE	3.73790321530768e-07	8	0.25	28.8842089389859	5.91697695425833	191.750363384091	"p13"	FALSE	"PAX6"	31822404	"-"	988
"27.chr12.75602991"	"chr12"	75602992	75603344	2.23669305703057e-08	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"p13"	FALSE	"PAX6"	31828010	"-"	1043
"50.chr12.81102034"	"chr12"	81102035	81102716	5.75813055918063e-07	TRUE	7.81368730078395e-06	6.2	0.333333333333333	17.2402009853464	3.94965471577507	94.1074112864094	"p13"	FALSE	"PAX6"	31832901	"-"	-8415
"105.chr12.103351579"	"chr12"	103351580	103352695	6.47142211496392e-07	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"p13"	FALSE	"WT1"	32457081	"-"	0
"137.chr12.113908887"	"chr12"	113908888	113910681	1.31745599853161e-07	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"p13"	FALSE	"WT1-AS"	32459391	"+"	1196
"70.chr12.113913615"	"chr12"	113913616	113914322	1.02351262850619e-06	TRUE	2.7365982125863e-06	2.27272727272727	0.0526315789473684	40.1378416907415	5.18357947503321	1842.82928293285	"p11.2"	FALSE	"MIR129-2"	43602944	"+"	0
"61.chr12.113917394"	"chr12"	113917395	113918107	6.82030842905097e-08	TRUE	1.40710934642703e-06	6.2	0.25	22.7058056174634	4.9300587922517	137.481358099127	"p11.2"	FALSE	"EXT2"	44265699	"+"	61542
"75.chr12.114878143"	"chr12"	114878144	114879155	1.67082426172136e-08	TRUE	5.35926234318766e-07	11	0.333333333333333	29.8061226110011	5.84542350457438	221.164066985874	"p15.2"	TRUE	"CALCA"	14993832	"-"	-1297
"35.chr12.115124729"	"chr12"	115124730	115125152	6.47142211496392e-07	TRUE	0.00721412065555331	8	1.22222222222222	6.29021032039722	1.41580211858127	33.8913056101494	"p13.31"	FALSE	"IFFO1"	6665249	"-"	0
"83.chr12.115173614"	"chr12"	115173615	115174822	1.4410853561162e-08	TRUE	0.000220755236932788	11	0.818181818181818	12.6607494334985	2.6311115573191	85.920645034478	"p12.1"	FALSE	"ABCC9"	22089628	"-"	-4327
"24.chr12.124941314"	"chr12"	124941315	124941584	5.95856261328925e-08	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"p12.1"	FALSE	"BCAT1"	25054819	"-"	-781
"26.chr12.127212279"	"chr12"	127212280	127212529	3.94490847569569e-08	TRUE	6.38223082120995e-06	5	0.25	18.5141917044458	4.18714346256947	106.068259550665	"p11.21"	FALSE	"CAPRIN2"	30907448	"-"	-67938
"184.chr12.128751041"	"chr12"	128751042	128753151	1.14537035425161e-06	TRUE	0.000186320094921617	3.5	0.333333333333333	9.95892251439785	2.51596696905587	47.047235674164	"q12"	FALSE	"ADAMTS20"	43945073	"-"	0
"23.chr13.28501859"	"chr13"	28501860	28502090	1.70141512872959e-07	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"q13.12"	FALSE	"RACGAP1"	50419307	"-"	-7246
"31.chr13.28503057"	"chr13"	28503058	28503374	3.57660215572434e-07	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"q13.13"	TRUE	"SCN8A"	52115330	"+"	81
"18.chr13.36045931"	"chr13"	36045932	36046143	9.13855124933101e-07	TRUE	2.5592723278137e-06	4.14285714285714	0.176470588235294	21.6780739204217	4.60433400338789	148.638422915288	"q13.13"	TRUE	"ATP5G2"	54070109	"-"	-945
"58.chr13.58203586"	"chr13"	58203587	58204322	1.2806757144433e-06	TRUE	5.68890800165471e-05	6.2	0.428571428571429	13.538343604256	3.20930099549961	69.413869855345	"q13.13"	TRUE	"HOTAIR"	54357908	"-"	2417
"95.chr13.79170114"	"chr13"	79170115	79171231	3.42979695078058e-08	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q13.13"	TRUE	"HOTAIR"	54360161	"-"	-214
"217.chr13.112709884"	"chr13"	112709885	112712665	1.4410853561162e-08	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"q13.13"	TRUE	"MIR615"	54427734	"+"	-4022
"274.chr13.112720564"	"chr13"	112720565	112723582	1.43079778931587e-06	TRUE	0.00274961435937715	8	1	7.64474244538589	1.74490957140837	41.2326325249457	"q13.13"	TRUE	"MIR615"	54427734	"+"	12909
"201.chr13.112726281"	"chr13"	112726282	112728419	1.43079778931587e-06	TRUE	0.000621854260950715	6.2	0.666666666666667	8.84077244728864	2.16130126642605	42.6236613684012	"q13.13"	TRUE	"MIR615"	54427734	"+"	20011
"33.chr14.29243403"	"chr14"	29243404	29243763	2.55759077588583e-09	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"q14.1"	FALSE	"FAM19A2"	62586620	"-"	352
"63.chr14.36991594"	"chr14"	36991595	36992488	4.03435779707258e-07	TRUE	2.05875979985123e-07	6.2	0.176470588235294	31.6968933264028	6.29649108617854	233.395467948442	"q14.2"	FALSE	"PPM1H"	63328665	"-"	-214972
"70.chr14.36993488"	"chr14"	36993489	36994488	1.93049976864389e-07	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q21.1"	FALSE	"KCNC2"	75603528	"-"	184
"22.chr14.37052537"	"chr14"	37052538	37052838	3.5550811932381e-09	TRUE	6.38223082120995e-06	5	0.25	18.5141917044458	4.18714346256947	106.068259550665	"q21.31"	TRUE	"MYF6"	81102303	"+"	0
"187.chr14.38678245"	"chr14"	38678246	38680937	9.13855124933101e-07	TRUE	0.0250869430315436	11	1.85714285714286	5.71125223022951	1.09970360456352	39.5280150756096	"q23.2"	TRUE	"LINC00485"	103218177	"-"	-133403
"109.chr14.38724254"	"chr14"	38724255	38725537	6.82030842905097e-08	TRUE	1.40710934642703e-06	6.2	0.25	22.7058056174634	4.9300587922517	137.481358099127	"q24.13"	FALSE	"LHX5"	113909877	"-"	0
"98.chr14.57260878"	"chr14"	57260879	57262123	7.79767546671455e-08	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"q24.13"	FALSE	"LHX5"	113909877	"-"	-3739
"176.chr14.57274607"	"chr14"	57274608	57276840	2.97814156053645e-08	TRUE	5.84298090101592e-05	11	0.666666666666667	15.4133870635268	3.20003387695271	105.761788911298	"q24.13"	FALSE	"LHX5"	113909877	"-"	-7518
"131.chr14.58331676"	"chr14"	58331677	58333121	1.93049976864389e-07	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"q24.21"	TRUE	"TBX5-AS1"	114847271	"+"	30873
"32.chr14.60973772"	"chr14"	60973773	60974123	3.53863544863509e-13	TRUE	2.25428898544344e-12	11	0	Inf	29.9202983037254	Inf	"q24.21"	TRUE	"TBX5-AS1"	114847271	"+"	277459
"178.chr14.60975732"	"chr14"	60975733	60978180	2.46121005685715e-10	TRUE	1.70740560576138e-09	17	0.176470588235294	80.5710249336806	12.0229907500967	1045.92178958234	"q24.21"	TRUE	"TBX5-AS1"	114847271	"+"	326344
"67.chr14.61108954"	"chr14"	61108955	61109786	3.01812508616895e-09	TRUE	5.29052221114198e-09	8	0.111111111111111	62.1974024773632	10.0390684076578	758.466936933953	"q24.31"	TRUE	"NCOR2"	124941708	"-"	124
"35.chr14.95239375"	"chr14"	95239376	95239679	1.31745599853161e-07	TRUE	2.23376456634405e-06	8	0.333333333333333	21.9877321105056	4.73996927920641	133.712465582352	"q24.32"	FALSE	"TMEM132B"	126138111	"+"	1074169
"21.chr14.95240083"	"chr14"	95240084	95240341	1.82643231877087e-09	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"q24.32"	FALSE	"MIR3612"	128778637	"+"	-25486
"133.chr14.99711839"	"chr14"	99711840	99713431	9.13855124933101e-07	TRUE	1.42230466837021e-05	4.14285714285714	0.25	15.4755921086165	3.60626335920674	85.0912735281676	"q13.13"	TRUE	"HOXC12"	54348714	"+"	-26993
"209.chr15.33009530"	"chr15"	33009531	33011696	3.16778322047639e-07	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q13.13"	TRUE	"HOXC12"	54348714	"+"	-9546
"25.chr15.45996453"	"chr15"	45996454	45996735	3.16778322047639e-07	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"q13.13"	TRUE	"MIR615"	54427734	"+"	-2561
"128.chr15.53076187"	"chr15"	53076188	53077926	1.2806757144433e-06	TRUE	1.97770847758963e-06	1.57142857142857	0	Inf	6.17229073678208	Inf	"q24.21"	TRUE	"TBX5"	114839725	"-"	836
"248.chr15.53080458"	"chr15"	53080459	53083699	7.85909803160398e-09	TRUE	1.12889023371455e-05	8	0.428571428571429	17.302275995489	3.85100605448098	100.021902765414	"q24.33"	FALSE	"TMEM132D"	130388212	"-"	0
"124.chr15.89949373"	"chr15"	89949374	89951130	1.53901365535296e-09	TRUE	9.58298247712e-08	3.5	0.0526315789473684	60.2886057931336	7.55088948205361	2804.52138894319	"q12.2"	FALSE	"PDX1"	28498393	"+"	3467
"58.chr15.89952271"	"chr15"	89952272	89953061	3.94490847569569e-08	TRUE	6.76286695633029e-11	6.2	0	Inf	20.0253713604435	Inf	"q12.2"	FALSE	"PDX1"	28498393	"+"	4665
