"id"	"space"	"start"	"end"	"wilcoxon.p.value"	"hyper?"	"fisher.p.value"	"tmr.ratio"	"nor.ratio"	"OR"	"CI_95_L"	"CI_95_H"	"cytoband"	"DM.band?"	"closest.TSS"	"pos.TSS"	"dir"	"dist"
"66.chr1.63795363"	"chr1"	63795364	63796140	3.16778322047639e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p31.3"	FALSE	"FOXD3"	63788730	"+"	6633
"28.chr1.75595813"	"chr1"	75595814	75596162	1.08609886729845e-09	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"p31.1"	FALSE	"LHX8"	75594119	"+"	1694
"81.chr1.75601998"	"chr1"	75601999	75602878	0.00012051048232834	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"p31.1"	FALSE	"LHX8"	75594119	"+"	7879
"124.chr1.91183240"	"chr1"	91183241	91184540	3.16778322047639e-07	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"p22.2"	TRUE	"BARHL2"	91182794	"-"	-446
"36.chr1.91185156"	"chr1"	91185157	91185577	2.58264151450318e-08	TRUE	6.38223082120995e-06	5	0.25	18.5141917044458	4.18714346256947	106.068259550665	"p22.2"	TRUE	"BARHL2"	91182794	"-"	-2362
"147.chr1.91190489"	"chr1"	91190490	91192804	7.60002154692682e-10	TRUE	1.01668433243499e-09	11	0.111111111111111	82.7592204733749	12.402490582449	1063.95099285836	"p22.2"	TRUE	"BARHL2"	91182794	"-"	-7695
"86.chr1.91300979"	"chr1"	91300980	91301891	3.37616592653505e-06	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"p22.2"	TRUE	"BARHL2"	91182794	"-"	-118185
"264.chr1.110610265"	"chr1"	110610266	110613303	3.01812508616895e-09	TRUE	1.4159237758533e-05	17	0.666666666666667	23.5438184160191	4.11792156688633	256.261292193752	"p13.3"	FALSE	"ALX3"	110613322	"-"	18
"190.chr1.111216244"	"chr1"	111216245	111217937	1.59722716158885e-06	TRUE	1	35	19	1.82100145681964	0.0223044726145793	148.479276099894	"p13.3"	FALSE	"KCNA3"	111217655	"-"	0
"36.chr1.111813411"	"chr1"	111813412	111813853	2.47782428124e-07	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"p13.2"	FALSE	"CHIAP2"	111823146	"+"	-9292
"36.chr1.119522385"	"chr1"	119522386	119522638	1.01872045308901e-05	TRUE	1.45363316648348e-06	1.76923076923077	0	Inf	6.89597946581901	Inf	"p12"	TRUE	"TBX15"	119532179	"-"	9540
"35.chr1.119526782"	"chr1"	119526783	119527192	5.75055754836904e-09	TRUE	5.84298090101592e-05	11	0.666666666666667	15.4133870635268	3.20003387695271	105.761788911298	"p12"	TRUE	"TBX15"	119532179	"-"	4986
"19.chr1.119531991"	"chr1"	119531992	119532196	4.18033516498383e-09	TRUE	8.31693457786914e-08	11	0.25	39.0030854681334	7.2979490534794	308.877611977199	"p12"	TRUE	"TBX15"	119532179	"-"	0
"36.chr1.119535666"	"chr1"	119535667	119535987	2.23669305703057e-08	TRUE	2.54122776916202e-08	4.14285714285714	0.0526315789473684	70.4890519842793	8.68230189389187	3301.23298905306	"p12"	TRUE	"TBX15"	119532179	"-"	-3487
"32.chr1.119543056"	"chr1"	119543057	119543454	2.16340206159327e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p12"	TRUE	"TBX15"	119532179	"-"	-10877
"75.chr1.121260857"	"chr1"	121260858	121261525	2.47782428124e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p11.2"	FALSE	"EMBP1"	121260910	"+"	0
"37.chr1.146543987"	"chr1"	146543988	146544439	1.97287614018758e-05	TRUE	9.58298247712e-08	3.5	0.0526315789473684	60.2886057931336	7.55088948205361	2804.52138894319	"q21.1"	FALSE	"LOC728989"	146514599	"-"	-29388
"25.chr1.146551476"	"chr1"	146551477	146551764	5.75813055918063e-07	TRUE	1.10785177524589e-05	3.5	0.176470588235294	18.4705989508751	4.0074787284954	123.261944091271	"q21.1"	FALSE	"NBPF13P"	146585928	"-"	34163
"46.chr1.149156106"	"chr1"	149156107	149156671	9.13855124933101e-07	TRUE	1.40710934642703e-06	6.2	0.25	22.7058056174634	4.9300587922517	137.481358099127	"q21.2"	TRUE	"LOC388692"	149279476	"+"	-122804
"131.chr1.152079997"	"chr1"	152079998	152081705	5.19952989196264e-08	TRUE	0.00706714668978821	17	1.85714285714286	8.74563673605781	1.42378909331792	97.0055067552898	"q21.3"	FALSE	"TCHHL1"	152061540	"-"	-18457
"72.chr1.161368863"	"chr1"	161368864	161369932	1.31745599853161e-07	TRUE	2.54122776916202e-08	4.14285714285714	0.0526315789473684	70.4890519842793	8.68230189389187	3301.23298905306	"q23.3"	FALSE	"C1orf192"	161337673	"-"	-31190
"49.chr1.165321703"	"chr1"	165321704	165322318	2.73653536998483e-06	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"q23.3"	FALSE	"LMX1A"	165325952	"-"	3633
"29.chr1.165323486"	"chr1"	165323487	165323811	1.4410853561162e-08	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q23.3"	FALSE	"LMX1A"	165325952	"-"	2140
"181.chr1.165324191"	"chr1"	165324192	165326328	1.43079778931587e-06	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"q23.3"	FALSE	"LMX1A"	165325952	"-"	0
"20.chr1.169396621"	"chr1"	169396622	169396869	3.57660215572434e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q24.2"	FALSE	"CCDC181"	169429907	"-"	33037
"38.chr1.170630456"	"chr1"	170630457	170630851	4.04787724596136e-05	TRUE	1.45363316648348e-06	1.76923076923077	0	Inf	6.89597946581901	Inf	"q24.2"	FALSE	"PRRX1"	170633313	"+"	-2461
"42.chr1.175568376"	"chr1"	175568377	175568808	1.53901365535296e-09	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"q25.1"	FALSE	"TNR"	175712752	"-"	143943
"23.chr1.177140120"	"chr1"	177140121	177140323	1.01579992815092e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q25.2"	FALSE	"BRINP2"	177140633	"+"	-309
"27.chr1.197890478"	"chr1"	197890479	197890824	2.36963094154519e-05	TRUE	9.28699433333137e-07	3.5	0.111111111111111	28.96665481259	5.31276612195656	307.598507732361	"q31.3"	TRUE	"LHX9"	197881635	"+"	8843
"48.chr1.207842805"	"chr1"	207842806	207843259	0.000473515716749571	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"q32.2"	FALSE	"CR1L"	207818458	"+"	24347
"42.chr1.214153214"	"chr1"	214153215	214153668	5.63582848774565e-06	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q32.3"	FALSE	"PROX1"	214161278	"+"	-7609
"40.chr1.214158726"	"chr1"	214158727	214159080	3.37616592653505e-06	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"q32.3"	FALSE	"PROX1"	214161278	"+"	-2197
"43.chr1.221050448"	"chr1"	221050449	221050864	2.80301082625901e-07	TRUE	0.000412454156483355	5	0.538461538461538	8.82625042274583	2.23306549043218	40.2975898181426	"q41"	FALSE	"HLX"	221052743	"+"	-1878
"49.chr1.221064889"	"chr1"	221064890	221065600	7.85909803160398e-09	TRUE	5.08781262506834e-08	8	0.176470588235294	40.1613122451965	7.56080412393462	316.908516069481	"q41"	FALSE	"HLX"	221052743	"+"	12146
"159.chr1.224803637"	"chr1"	224803638	224805314	4.53176596162093e-08	TRUE	7.81368730078395e-06	6.2	0.333333333333333	17.2402009853464	3.94965471577507	94.1074112864094	"q42.12"	FALSE	"CNIH3"	224804179	"+"	0
"29.chr1.224805408"	"chr1"	224805409	224805853	1.97287614018758e-05	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"q42.12"	FALSE	"CNIH3"	224804179	"+"	1229
"245.chr1.229567206"	"chr1"	229567207	229570684	9.16595174371749e-09	TRUE	5.8429809010159e-05	17	0.818181818181818	19.3327155784523	3.3880860519688	209.797459654033	"q42.13"	FALSE	"ACTA1"	229569843	"-"	0
"126.chr1.234040298"	"chr1"	234040299	234041457	7.85909803160398e-09	TRUE	1.74481967473321e-09	6.2	0.0526315789473684	101.726253944959	11.9032994887592	4855.96723552285	"q42.2"	FALSE	"SLC35F3"	234040679	"+"	0
"170.chr1.237205126"	"chr1"	237205127	237206644	3.37616592653505e-06	TRUE	2.54122776916202e-08	4.14285714285714	0.0526315789473684	70.4890519842793	8.68230189389187	3301.23298905306	"q43"	FALSE	"RYR2"	237205702	"+"	0
"194.chr1.240254959"	"chr1"	240254960	240257063	1.01872045308901e-05	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"q43"	FALSE	"FMN2"	240255185	"+"	0
"101.chr1.248020330"	"chr1"	248020331	248021252	2.80301082625901e-07	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q44"	FALSE	"TRIM58"	248020501	"+"	0
"418.chr10.7449376"	"chr10"	7449377	7455339	1.59722716158885e-06	TRUE	0.0560232220609579	11	2.33333333333333	4.56980309846983	0.835964355529093	32.2986160266692	"p14"	FALSE	"SFMBT2"	7453448	"-"	0
"509.chr10.8091374"	"chr10"	8091375	8098329	1.4410853561162e-08	TRUE	3.73790321530768e-07	8	0.25	28.8842089389859	5.91697695425833	191.750363384091	"p14"	FALSE	"GATA3-AS1"	8095447	"-"	0
"163.chr10.23462224"	"chr10"	23462225	23463889	4.03435779707258e-07	TRUE	1.31286859936545e-05	2.6	0.111111111111111	21.8554062428908	4.11446376182326	227.475736333865	"p12.2"	FALSE	"PTF1A"	23481460	"+"	-17570
"166.chr10.25463756"	"chr10"	25463757	25465639	1.08609886729845e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p12.1"	FALSE	"GPR158"	25464290	"+"	0
"255.chr10.50602989"	"chr10"	50602990	50606783	8.9049010059537e-08	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"q11.23"	FALSE	"DRGX"	50604062	"-"	0
"36.chr10.57388068"	"chr10"	57388069	57388528	7.79767546671455e-08	TRUE	7.24055079234573e-07	5	0.176470588235294	25.8897653843047	5.34696875471149	182.784234213691	"q21.1"	FALSE	"PCDH15"	57387702	"-"	-366
"75.chr10.57390343"	"chr10"	57390344	57391215	6.23081652831968e-06	TRUE	9.58298247712e-08	3.5	0.0526315789473684	60.2886057931336	7.55088948205361	2804.52138894319	"q21.1"	FALSE	"PCDH15"	57387702	"-"	-2641
"42.chr10.94180315"	"chr10"	94180316	94180754	4.60122740504322e-06	TRUE	7.84222052256061e-07	2.6	0.0526315789473684	45.6037927532348	5.84425747849139	2100.93634670224	"q23.33"	FALSE	"MARK2P9"	94178418	"+"	1897
"173.chr10.94833272"	"chr10"	94833273	94835256	3.74588725262842e-06	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"q23.33"	FALSE	"CYP26A1"	94833232	"+"	40
"46.chr10.102419147"	"chr10"	102419148	102419668	4.53176596162093e-08	TRUE	0.00011876086193964	4.14285714285714	0.333333333333333	11.7138225109284	2.89006976934853	57.170299001202	"q24.31"	TRUE	"PAX2"	102505468	"+"	-85799
"27.chr10.102590122"	"chr10"	102590123	102590402	1.93049976864389e-07	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q24.31"	TRUE	"FAM178A"	102672326	"+"	-81923
"49.chr10.102899822"	"chr10"	102899823	102900263	2.59464608806735e-05	TRUE	1.45363316648348e-06	1.76923076923077	0	Inf	6.89597946581901	Inf	"q24.31"	TRUE	"TLX1"	102891061	"+"	8761
"403.chr10.102984182"	"chr10"	102984183	102990063	2.21142959041558e-06	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q24.31"	TRUE	"LBX1-AS1"	102989351	"+"	0
"295.chr10.106399567"	"chr10"	106399568	106402812	1.08609886729845e-09	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q25.1"	FALSE	"SORCS3"	106400859	"+"	0
"80.chr10.109674196"	"chr10"	109674197	109674964	7.60020041349273e-06	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"q25.1"	FALSE	"SORCS1"	108924466	"-"	-749730
"275.chr10.118030732"	"chr10"	118030733	118034230	5.09411269706094e-06	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q25.3"	FALSE	"GFRA1"	118033126	"-"	0
"36.chr10.118892161"	"chr10"	118892162	118892639	6.23081652831968e-06	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"q25.3"	FALSE	"VAX1"	118897812	"-"	5172
"313.chr10.119301321"	"chr10"	119301322	119305368	1.4410853561162e-08	TRUE	2.23376456634405e-06	8	0.333333333333333	21.9877321105056	4.73996927920641	133.712465582352	"q26.11"	FALSE	"EMX2"	119301956	"+"	0
"46.chr10.119494493"	"chr10"	119494494	119494991	2.23669305703057e-08	TRUE	2.7365982125863e-06	2.27272727272727	0.0526315789473684	40.1378416907415	5.18357947503321	1842.82928293285	"q26.11"	FALSE	"EMX2OS"	119304579	"-"	-189914
"97.chr11.14926471"	"chr11"	14926472	14927770	9.13855124933101e-07	TRUE	0.0250869430315436	11	1.85714285714286	5.71125223022951	1.09970360456352	39.5280150756096	"p15.2"	TRUE	"CYP2R1"	14913751	"-"	-12720
"64.chr11.14995128"	"chr11"	14995129	14995908	1.02351262850619e-06	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"p15.2"	TRUE	"CALCA"	14993832	"-"	-1296
"87.chr11.20181200"	"chr11"	20181201	20182325	1.31745599853161e-07	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"p15.1"	FALSE	"DBX1"	20181870	"-"	0
"98.chr11.31820060"	"chr11"	31820061	31821416	6.33606678873053e-10	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"p13"	TRUE	"DKFZp686K1684"	31838114	"+"	-16697
"81.chr11.31825743"	"chr11"	31825744	31826967	5.75055754836904e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"p13"	TRUE	"DKFZp686K1684"	31838114	"+"	-11146
"54.chr11.31841315"	"chr11"	31841316	31842003	2.18820695414927e-07	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"p13"	TRUE	"PAX6"	31839509	"-"	-1806
"58.chr11.31847132"	"chr11"	31847133	31847958	1.31745599853161e-07	TRUE	5.68890800165471e-05	6.2	0.428571428571429	13.538343604256	3.20930099549961	69.413869855345	"p13"	TRUE	"PAX6"	31839509	"-"	-7623
"188.chr11.32454874"	"chr11"	32454875	32457311	2.58264151450318e-08	TRUE	8.67224972700092e-08	5	0.111111111111111	40.4970792455695	7.09272403721689	446.942070449281	"p13"	TRUE	"WT1"	32457081	"-"	0
"41.chr11.32460586"	"chr11"	32460587	32461004	1.49185712473251e-05	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"p13"	TRUE	"WT1-AS"	32457285	"+"	3301
"61.chr11.43602545"	"chr11"	43602546	43603215	1.15746217198175e-07	TRUE	1.38783691182407e-08	3	0	Inf	11.0912085887762	Inf	"p11.2"	FALSE	"MIR129-2"	43602944	"+"	0
"102.chr11.66188130"	"chr11"	66188131	66189397	6.47142211496392e-07	TRUE	2.79644080144199e-05	5	0.333333333333333	14.0281524465668	3.35488083108322	71.6187856371574	"q13.2"	FALSE	"NPAS4"	66188475	"+"	0
"75.chr12.6664425"	"chr12"	6664426	6665336	8.9049010059537e-08	TRUE	3.73790321530768e-07	8	0.25	28.8842089389859	5.91697695425833	191.750363384091	"p13.31"	FALSE	"IFFO1"	6665249	"-"	0
"90.chr12.22093954"	"chr12"	22093955	22095357	3.01812508616895e-09	TRUE	2.25428898544344e-12	11	0	Inf	29.9202983037254	Inf	"p12.1"	FALSE	"ABCC9"	22094336	"-"	0
"70.chr12.25055599"	"chr12"	25055600	25056246	1.35112229615403e-10	TRUE	2.25428898544344e-12	11	0	Inf	29.9202983037254	Inf	"p12.1"	FALSE	"BCAT1"	25102393	"-"	46146
"66.chr12.30322763"	"chr12"	30322764	30323555	2.47782428124e-07	TRUE	1.31286859936545e-05	2.6	0.111111111111111	21.8554062428908	4.11446376182326	227.475736333865	"p11.22"	TRUE	"TMTC1"	29937692	"-"	-385071
"67.chr12.30975385"	"chr12"	30975386	30976292	6.47142211496392e-07	TRUE	2.7365982125863e-06	2.27272727272727	0.0526315789473684	40.1378416907415	5.18357947503321	1842.82928293285	"p11.21"	FALSE	"LINC00941"	30948615	"+"	26770
"126.chr12.43944719"	"chr12"	43944720	43946285	6.82030842905097e-08	TRUE	4.95217062583074e-05	8	0.538461538461538	13.9025158255254	3.15489681856211	77.7256183027875	"q12"	FALSE	"ADAMTS20"	43945724	"-"	0
"42.chr12.50426552"	"chr12"	50426553	50426918	6.22554995146909e-05	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q13.12"	FALSE	"RACGAP1"	50419307	"-"	-7245
"32.chr12.52115410"	"chr12"	52115411	52115679	1.06739934286618e-08	TRUE	1.74481967473321e-09	6.2	0.0526315789473684	101.726253944959	11.9032994887592	4855.96723552285	"q13.13"	TRUE	"FIGNL2"	52225701	"-"	110021
"22.chr12.54071053"	"chr12"	54071054	54071265	9.16595174371749e-09	TRUE	1.13036490555806e-09	4.14285714285714	0	Inf	14.5676380539044	Inf	"q13.13"	TRUE	"ATP5G2"	54070512	"-"	-541
"41.chr12.54321301"	"chr12"	54321302	54321721	4.60122740504322e-06	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"q13.13"	TRUE	"HOXC13"	54332576	"+"	-10854
"33.chr12.54338761"	"chr12"	54338762	54339168	3.39411356196178e-05	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"q13.13"	TRUE	"HOXC13-AS"	54333427	"-"	-5334
"94.chr12.54354529"	"chr12"	54354530	54355491	3.74588725262842e-06	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q13.13"	TRUE	"HOXC12"	54348714	"+"	5815
"25.chr12.54360374"	"chr12"	54360375	54360660	5.11887290861639e-07	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q13.13"	TRUE	"HOXC11"	54366910	"+"	-6249
"165.chr12.54366815"	"chr12"	54366816	54369103	5.95856261328925e-08	TRUE	3.20634285266577e-06	3	0.111111111111111	25.0407956616755	4.66060046742043	262.891138275285	"q13.13"	TRUE	"HOXC11"	54366910	"+"	0
"31.chr12.54423427"	"chr12"	54423428	54423712	1.67082426172136e-08	TRUE	1.74481967473321e-09	6.2	0.0526315789473684	101.726253944959	11.9032994887592	4855.96723552285	"q13.13"	TRUE	"MIR615"	54427734	"+"	-4021
"48.chr12.54424610"	"chr12"	54424611	54425173	3.1052652203228e-05	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"q13.13"	TRUE	"MIR615"	54427734	"+"	-2560
"79.chr12.54440642"	"chr12"	54440643	54441543	1.29417572323999e-09	TRUE	1.35257339126606e-11	8	0	Inf	24.1162335546797	Inf	"q13.13"	TRUE	"FLJ12825"	54452038	"+"	-10494
"30.chr12.54447744"	"chr12"	54447745	54448091	4.03435779707258e-07	TRUE	3.99357979686625e-07	4.14285714285714	0.111111111111111	33.927287639466	6.10538589411323	367.198679642719	"q13.13"	TRUE	"FLJ12825"	54452038	"+"	-3946
"119.chr12.62584768"	"chr12"	62584769	62586268	5.11887290861639e-07	TRUE	2.93057568107647e-10	5	0	Inf	16.9569384876703	Inf	"q14.1"	FALSE	"FAM19A2"	62653925	"-"	67656
"121.chr12.63543636"	"chr12"	63543637	63544967	6.72796175443373e-09	TRUE	3.73790321530768e-07	8	0.25	28.8842089389859	5.91697695425833	191.750363384091	"q14.2"	FALSE	"AVPR1A"	63546590	"-"	1622
"27.chr12.75602991"	"chr12"	75602992	75603344	0.000141405846286663	TRUE	1.148345055953e-07	2.27272727272727	0	Inf	8.67324298627381	Inf	"q21.1"	FALSE	"KCNC2"	75603528	"-"	183
"50.chr12.81102034"	"chr12"	81102035	81102716	1.2806757144433e-06	TRUE	7.81368730078395e-06	6.2	0.333333333333333	17.2402009853464	3.94965471577507	94.1074112864094	"q21.31"	TRUE	"MYF6"	81101408	"+"	626
"105.chr12.103351579"	"chr12"	103351580	103352695	1.02351262850619e-06	TRUE	7.91255433890644e-09	3.5	0	Inf	12.6567654571029	Inf	"q23.2"	TRUE	"ASCL1"	103351452	"+"	127
"137.chr12.113908887"	"chr12"	113908888	113910681	0.000586087027212262	TRUE	3.74132046792307e-07	2	0	Inf	7.72268911579187	Inf	"q24.13"	FALSE	"LHX5"	113909877	"-"	0
"61.chr12.113917394"	"chr12"	113917395	113918107	8.15253553205288e-07	TRUE	1.40710934642703e-06	6.2	0.25	22.7058056174634	4.9300587922517	137.481358099127	"q24.13"	FALSE	"LHX5"	113909877	"-"	-7517
"46.chr12.114838312"	"chr12"	114838313	114838889	0.000193518969796467	TRUE	1.45363316648348e-06	1.76923076923077	0	Inf	6.89597946581901	Inf	"q24.21"	TRUE	"TBX5-AS1"	114846000	"+"	-7110
"119.chr12.114845861"	"chr12"	114845862	114847650	1.02351262850619e-06	TRUE	3.20634285266577e-06	3	0.111111111111111	25.0407956616755	4.66060046742043	262.891138275285	"q24.21"	TRUE	"TBX5"	114846247	"-"	0
"75.chr12.114878143"	"chr12"	114878144	114879155	1.82643231877087e-09	TRUE	5.35926234318766e-07	11	0.333333333333333	29.8061226110011	5.84542350457438	221.164066985874	"q24.21"	TRUE	"TBX5"	114846247	"-"	-31896
"94.chr12.115102687"	"chr12"	115102688	115103982	8.9049010059537e-08	TRUE	2.5592723278137e-06	4.14285714285714	0.176470588235294	21.6780739204217	4.60433400338789	148.638422915288	"q24.21"	TRUE	"TBX3"	115121969	"-"	17986
"35.chr12.115124729"	"chr12"	115124730	115125152	8.15253553205288e-07	TRUE	0.00721412065555331	8	1.22222222222222	6.29021032039722	1.41580211858127	33.8913056101494	"q24.21"	TRUE	"TBX3"	115121969	"-"	-2760
"83.chr12.115173614"	"chr12"	115173615	115174822	3.42979695078058e-08	TRUE	0.000220755236932788	11	0.818181818181818	12.6607494334985	2.6311115573191	85.920645034478	"q24.21"	TRUE	"TBX3"	115121969	"-"	-51645
"24.chr12.124941314"	"chr12"	124941315	124941584	1.93049976864389e-07	TRUE	5.00249268759751e-07	3	0.0526315789473684	52.1912931080709	6.62264445039503	2414.78901323533	"q24.31"	TRUE	"NCOR2"	125052010	"-"	110425
"184.chr12.128751041"	"chr12"	128751042	128753151	3.16778322047639e-07	TRUE	0.000186320094921617	3.5	0.333333333333333	9.95892251439785	2.51596696905587	47.047235674164	"q24.32"	FALSE	"TMEM132C"	128751948	"+"	0
"124.chr12.130387609"	"chr12"	130387610	130389139	2.83933574142648e-05	TRUE	6.36562903296682e-08	2.6	0	Inf	9.78276698724936	Inf	"q24.33"	FALSE	"TMEM132D"	130388212	"-"	0
