chr	start	end	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band?	CpGi	DM.island?	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir	norm.700.reads.min	norm.700.reads.25q	norm.700.reads.med	norm.700.reads.75q	norm.700.reads.max
chr1	2058601	2058700	2.31480795249379e-05	0.68	0.16	10.7543834674984	2.97499111212343	50.4021671873708	p36.33	FALSE	NA	NA	PRKCZ	1981909	+	76691	NA	NA	NA	0	5	8	16	45
chr1	2058701	2058800	2.70587380689733e-07	0.64	0.04	40.6987348585587	5.70652746305788	1789.59913990139	p36.33	FALSE	NA	NA	PRKCZ	1981909	+	76791	NA	NA	NA	1	4	9	19	47
chr1	2058801	2058900	3.76868150713644e-07	0.56	0	Inf	6.78990287815956	Inf	p36.33	FALSE	NA	NA	PRKCZ	1981909	+	76891	NA	NA	NA	1	4	10	15	38
chr1	2231901	2232000	3.20109753226057e-08	0.62	0	Inf	8.62299717643819	Inf	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	52099	NA	NA	NA	0	3	7	9	34
chr1	2232001	2232100	1.18460167991838e-06	0.6	0.04	34.5016826809153	4.85668736263062	1515.76518649609	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51999	NA	NA	NA	0	2	3	5	14
chr1	2232101	2232200	8.1706606386889e-07	0.62	0.04	37.4440610039254	5.26196598456985	1645.61659177298	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51899	NA	NA	NA	0	1	3	5	15
chr1	2232201	2232300	1.84369231792933e-08	0.7	0.04	52.9295947844145	7.34845229446276	2333.76594494202	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51799	NA	NA	NA	0	1	5	8	18
chr1	2232301	2232400	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51699	NA	NA	NA	0	2	7	13	21
chr1	2232401	2232500	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	p36.33	FALSE	CpG: 23.chr1.2232310	TRUE	LOC100129534	2284100	-	51599	NA	NA	NA	0	2	6	13	20
chr1	2232501	2232600	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	p36.33	FALSE	CpG: 23.chr1.2232310	TRUE	LOC100129534	2284100	-	51499	NA	NA	NA	0	2	6	12	20
chr1	2232601	2232700	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51399	NA	NA	NA	0	2	5	11	19
chr1	2232701	2232800	6.52435432340607e-09	0.78	0.08	38.1544038566439	7.65192537378411	382.833206150046	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51299	NA	NA	NA	0	1	3	8	18
chr1	2232801	2232900	9.51565919949972e-09	0.72	0.04	58.106937447902	8.0264300068734	2565.48449367881	p36.33	FALSE	NA	NA	LOC100129534	2284100	-	51199	NA	NA	NA	0	1	3	8	18
chr1	2375201	2375300	1.38541752840361e-06	0.52	0	Inf	5.80115612597983	Inf	p36.32	FALSE	CpG: 107.chr1.2374818	TRUE	PEX10	2344010	-	-31190	NA	NA	NA	0	0	1	2	7
chr1	2375301	2375400	5.02770317082281e-07	0.68	0.08	23.3140167745542	4.83692789772791	227.326234636191	p36.32	FALSE	CpG: 107.chr1.2374818	TRUE	PEX10	2344010	-	-31290	NA	NA	NA	0	1	3	6	14
chr1	2375401	2375500	4.95005219894796e-06	0.76	0.2	12.1385640054011	3.48968798889379	50.8888523503821	p36.32	FALSE	CpG: 107.chr1.2374818	TRUE	PEX10	2344010	-	-31390	NA	NA	NA	0	5	8	13	45
chr1	2375501	2375600	2.60661470412861e-05	0.8	0.28	9.8832030138966	2.99052158282079	36.7558122847587	p36.32	FALSE	CpG: 107.chr1.2374818	TRUE	PEX10	2344010	-	-31490	NA	NA	NA	0	7	9	19	60
chr1	2524301	2524400	2.687389561362e-05	0.12	0.6	0.0948631164974526	0.0235325631540421	0.333657588868857	p36.32	FALSE	NA	NA	FAM213B	2517899	+	6401	FAM213B	2517899	+	1	6	12	18	82
chr1	2705601	2705700	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	p36.32	FALSE	NA	NA	TTC34	2706230	-	529	TTC34	2706230	-	0	2	5	8	19
chr1	2705701	2705800	1.45813688560373e-07	0.58	0	Inf	7.3483646533785	Inf	p36.32	FALSE	NA	NA	TTC34	2706230	-	429	TTC34	2706230	-	0	2	4	8	19
chr1	2705801	2705900	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	p36.32	FALSE	NA	NA	TTC34	2706230	-	329	TTC34	2706230	-	0	2	4	8	19
chr1	2705901	2706000	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	p36.32	FALSE	NA	NA	TTC34	2706230	-	229	TTC34	2706230	-	0	2	4	7	19
chr1	2706001	2706100	1.20585717201875e-08	0.64	0	Inf	9.35072893871128	Inf	p36.32	FALSE	NA	NA	TTC34	2706230	-	129	TTC34	2706230	-	0	2	4	7	19
chr1	2706101	2706200	3.76868150713644e-07	0.56	0	Inf	6.78990287815956	Inf	p36.32	FALSE	CpG: 111.chr1.2706025	TRUE	TTC34	2706230	-	29	TTC34	2706230	-	0	1	3	5	12
chr1	2706201	2706300	1.38541752840361e-06	0.52	0	Inf	5.80115612597983	Inf	p36.32	FALSE	CpG: 111.chr1.2706025	TRUE	TTC34	2706230	-	0	TTC34	2706230	-	0	1	3	5	16
chr1	2706301	2706400	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p36.32	FALSE	CpG: 111.chr1.2706025	TRUE	TTC34	2706230	-	-70	TTC34	2706230	-	0	0	2	5	15
chr1	2706401	2706500	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p36.32	FALSE	CpG: 111.chr1.2706025	TRUE	TTC34	2706230	-	-170	TTC34	2706230	-	0	1	3	7	14
chr1	2706501	2706600	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	p36.32	FALSE	CpG: 111.chr1.2706025	TRUE	TTC34	2706230	-	-270	TTC34	2706230	-	0	1	5	8	19
chr1	2706601	2706700	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	p36.32	FALSE	CpG: 111.chr1.2706025	TRUE	TTC34	2706230	-	-370	TTC34	2706230	-	0	2	6	10	18
chr1	2953801	2953900	2.39947359022164e-05	0.28	0.8	0.100889959989399	0.0245452526453385	0.344791009064391	p36.32	FALSE	NA	NA	ACTRT2	2938046	+	15754	NA	NA	NA	3	12	17	28	113
chr1	2987201	2987300	1.13676781312999e-06	0.54	0	Inf	6.27568911136221	Inf	p36.32	FALSE	CpG: 406.chr1.2983925	TRUE	PRDM16	2985742	+	1458	LINC00982, PRDM16	2984289, 2985742	-, +	0	0	4	6	15
chr1	2987301	2987400	5.07522224072572e-06	0.68	0.12	14.9531454887331	3.72047042157211	89.2975454173363	p36.32	FALSE	CpG: 406.chr1.2983925	TRUE	PRDM16	2985742	+	1558	LINC00982, PRDM16	2984289, 2985742	-, +	0	2	6	10	46
chr1	3017401	3017500	2.687389561362e-05	0.12	0.6	0.0948631164974526	0.0235325631540421	0.333657588868857	p36.32	FALSE	NA	NA	MIR4251	3044539	+	-27038	NA	NA	NA	1	11	16	30	79
chr1	3123101	3123200	2.39424021943811e-05	0.56	1	0	0	0.237285989065032	p36.32	FALSE	NA	NA	MIR4251	3044539	+	78561	NA	NA	NA	8	32	47	70	173
chr1	3123201	3123300	1.13676781312999e-06	0.46	1	0	0	0.159345050759364	p36.32	FALSE	NA	NA	MIR4251	3044539	+	78661	NA	NA	NA	9	31	45	71	166
chr1	3164001	3164100	5.07522224072572e-06	0.68	0.12	14.9531454887331	3.72047042157211	89.2975454173363	p36.32	FALSE	CpG: 65.chr1.3163969	TRUE	MIR4251	3044539	+	119461	NA	NA	NA	0	3	7	11	25
chr1	3164101	3164200	5.36829560209135e-06	0.72	0.16	12.9533250187492	3.54001841586875	61.3592764916245	p36.32	FALSE	CpG: 65.chr1.3163969	TRUE	MIR4251	3044539	+	119561	NA	NA	NA	0	4	7	12	22
chr1	3164201	3164300	5.36829560209135e-06	0.72	0.16	12.9533250187492	3.54001841586875	61.3592764916245	p36.32	FALSE	CpG: 65.chr1.3163969	TRUE	MIR4251	3044539	+	119661	NA	NA	NA	0	5	7	17	26
chr1	3164301	3164400	3.29980582110885e-07	0.78	0.16	17.6753813259709	4.70035813964314	86.0097013117329	p36.32	FALSE	CpG: 65.chr1.3163969	TRUE	MIR4251	3044539	+	119761	NA	NA	NA	0	4	8	20	29
chr1	3164401	3164500	3.29980582110885e-07	0.78	0.16	17.6753813259709	4.70035813964314	86.0097013117329	p36.32	FALSE	CpG: 65.chr1.3163969	TRUE	MIR4251	3044539	+	119861	NA	NA	NA	0	5	8	18	41
chr1	3164501	3164600	1.02578418278059e-06	0.76	0.16	15.8507075088682	4.26001821277757	76.3672161040939	p36.32	FALSE	CpG: 65.chr1.3163969	TRUE	MIR4251	3044539	+	119961	NA	NA	NA	0	5	7	17	41
chr1	3164601	3164700	9.11547660734116e-08	0.72	0.08	28.0371401800466	5.75768426013574	274.851965904874	p36.32	FALSE	NA	NA	MIR4251	3044539	+	120061	NA	NA	NA	1	5	7	15	41
chr1	3164701	3164800	1.03720063146621e-05	0.54	0.04	27.1548788159106	3.83074108928244	1192.9052090041	p36.32	FALSE	NA	NA	MIR4251	3044539	+	120161	NA	NA	NA	1	4	8	13	41
chr1	3269501	3269600	2.31480795249379e-05	0.32	0.84	0.0929853397009854	0.019840416708323	0.336135457993433	p36.32	FALSE	NA	NA	ARHGEF16	3371147	+	-101546	NA	NA	NA	1	21	34	46	107
chr1	3280801	3280900	2.07291887312971e-05	0.42	0.92	0.0652035324884003	0.00674496687627447	0.310615426781931	p36.32	FALSE	NA	NA	ARHGEF16	3371147	+	-90246	NA	NA	NA	8	28	30	43	185
chr1	3567001	3567100	1.38541752840361e-06	0.52	0	Inf	5.80115612597983	Inf	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-329	WRAP73, TP73	3566671, 3569129	-, +	0	0	2	4	10
chr1	3567101	3567200	1.02430286580253e-07	0.6	0	Inf	7.95451912844582	Inf	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-429	WRAP73, TP73	3566671, 3569129	-, +	0	1	2	4	11
chr1	3567201	3567300	3.20109753226057e-08	0.62	0	Inf	8.62299717643819	Inf	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-529	WRAP73, TP73	3566671, 3569129	-, +	0	1	3	5	12
chr1	3567301	3567400	1.20585717201875e-08	0.64	0	Inf	9.35072893871128	Inf	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-629	WRAP73, TP73	3566671, 3569129	-, +	0	2	4	6	12
chr1	3567401	3567500	1.20585717201875e-08	0.64	0	Inf	9.35072893871128	Inf	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-729	WRAP73, TP73	3566671, 3569129	-, +	0	2	4	7	20
chr1	3567501	3567600	8.1706606386889e-07	0.62	0.04	37.4440610039254	5.26196598456985	1645.61659177298	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-829	WRAP73, TP73	3566671, 3569129	-, +	0	2	6	11	28
chr1	3567601	3567700	1.18460167991838e-06	0.6	0.04	34.5016826809153	4.85668736263062	1515.76518649609	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-929	WRAP73, TP73	3566671, 3569129	-, +	0	2	7	11	28
chr1	3567701	3567800	1.03720063146621e-05	0.54	0.04	27.1548788159106	3.83074108928244	1192.9052090041	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-1029	WRAP73, TP73	3566671, 3569129	-, +	0	2	6	11	28
chr1	3567801	3567900	2.4255335275299e-05	0.52	0.04	25.099990242656	3.540291834278	1102.9641056649	p36.32	FALSE	CpG: 284.chr1.3566445	TRUE	WRAP73	3566671	-	-1129	WRAP73, TP73	3566671, 3569129	-, +	0	1	5	10	29
chr1	4713801	4713900	3.37249873958826e-06	0.5	0	Inf	5.36109623441605	Inf	p36.32	FALSE	NA	NA	AJAP1	4715105	+	-1204	AJAP1	4715105	+	0	2	3	4	13
chr1	4713901	4714000	1.13676781312999e-06	0.54	0	Inf	6.27568911136221	Inf	p36.32	FALSE	NA	NA	AJAP1	4715105	+	-1104	AJAP1	4715105	+	0	2	4	6	11
chr1	4714001	4714100	3.76868150713644e-07	0.56	0	Inf	6.78990287815956	Inf	p36.32	FALSE	CpG: 232.chr1.4713989	TRUE	AJAP1	4715105	+	-1004	AJAP1	4715105	+	0	2	4	7	16
chr1	4714101	4714200	3.76868150713644e-07	0.56	0	Inf	6.78990287815956	Inf	p36.32	FALSE	CpG: 232.chr1.4713989	TRUE	AJAP1	4715105	+	-904	AJAP1	4715105	+	0	1	4	8	14
chr1	4714201	4714300	1.38541752840361e-06	0.52	0	Inf	5.80115612597983	Inf	p36.32	FALSE	CpG: 232.chr1.4713989	TRUE	AJAP1	4715105	+	-804	AJAP1	4715105	+	0	1	3	7	11
chr1	4714301	4714400	3.37249873958826e-06	0.5	0	Inf	5.36109623441605	Inf	p36.32	FALSE	CpG: 232.chr1.4713989	TRUE	AJAP1	4715105	+	-704	AJAP1	4715105	+	0	1	3	7	11
chr1	4714401	4714500	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p36.32	FALSE	CpG: 232.chr1.4713989	TRUE	AJAP1	4715105	+	-604	AJAP1	4715105	+	0	1	3	6	13
chr1	4736401	4736500	2.687389561362e-05	0.12	0.6	0.0948631164974526	0.0235325631540421	0.333657588868857	p36.32	FALSE	NA	NA	AJAP1	4715105	+	21295	NA	NA	NA	3	7	13	21	46
chr1	6268501	6268600	3.97451018898934e-06	0.8	0.24	12.1143473300275	3.55252466515601	47.9085680068136	p36.31	FALSE	NA	NA	RNF207	6266189	+	2311	RNF207	6266189	+	3	7	10	13	34
chr1	6268601	6268700	7.69877787304246e-06	0.82	0.28	11.2140690002413	3.33387512025694	42.7942869806741	p36.31	FALSE	NA	NA	RNF207	6266189	+	2411	RNF207	6266189	+	3	7	12	14	34
chr1	6268701	6268800	7.69877787304246e-06	0.82	0.28	11.2140690002413	3.33387512025694	42.7942869806741	p36.31	FALSE	NA	NA	RNF207	6266189	+	2511	RNF207	6266189	+	1	8	12	15	32
chr1	6268801	6268900	2.60661470412861e-05	0.8	0.28	9.8832030138966	2.99052158282079	36.7558122847587	p36.31	FALSE	NA	NA	RNF207	6266189	+	2611	RNF207	6266189	+	0	8	12	15	35
chr1	6268901	6269000	3.97451018898934e-06	0.8	0.24	12.1143473300275	3.55252466515601	47.9085680068136	p36.31	FALSE	CpG: 88.chr1.6268820	TRUE	RNF207	6266189	+	2711	RNF207	6266189	+	0	8	12	17	34
chr1	6269001	6269100	8.00448571490475e-07	0.8	0.2	15.2209437902518	4.26735382566718	65.6290077857844	p36.31	FALSE	CpG: 88.chr1.6268820	TRUE	RNF207	6266189	+	2811	RNF207	6266189	+	0	4	11	14	24
chr1	6269101	6269200	4.86378188712237e-08	0.78	0.12	24.5432058080522	5.88082458703892	151.708935942195	p36.31	FALSE	CpG: 88.chr1.6268820	TRUE	RNF207	6266189	+	2911	RNF207	6266189	+	0	3	8	12	23
chr1	6269201	6269300	1.34624438768348e-08	0.76	0.08	34.2514834804241	6.93285584276371	340.845143288203	p36.31	FALSE	CpG: 88.chr1.6268820	TRUE	RNF207	6266189	+	3011	RNF207	6266189	+	0	1	6	10	23
chr1	6269301	6269400	5.09971513408386e-08	0.74	0.08	30.9194839757371	6.30827485026034	304.205155083754	p36.31	FALSE	CpG: 88.chr1.6268820	TRUE	RNF207	6266189	+	3111	RNF207	6266189	+	0	1	5	10	18
chr1	6269401	6269500	2.71240029334045e-09	0.74	0.04	64.0342914326563	8.79652756477136	2831.69390280092	p36.31	FALSE	CpG: 88.chr1.6268820	TRUE	RNF207	6266189	+	3211	RNF207	6266189	+	0	1	3	7	15
chr1	6269501	6269600	1.04528056944565e-07	0.66	0.04	44.3183310391255	6.19806725629232	1950.14271495308	p36.31	FALSE	NA	NA	RNF207	6266189	+	3311	RNF207	6266189	+	0	1	3	7	15
chr1	6269601	6269700	1.04528056944565e-07	0.66	0.04	44.3183310391255	6.19806725629232	1950.14271495308	p36.31	FALSE	NA	NA	RNF207	6266189	+	3411	RNF207	6266189	+	0	1	3	5	10
chr1	6514301	6514400	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	11854	NA	NA	NA	0	1	2	6	10
chr1	6514401	6514500	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	11754	NA	NA	NA	0	1	3	7	10
chr1	6514501	6514600	1.06145604312098e-05	0.46	0	Inf	4.57038841152789	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	11654	NA	NA	NA	0	0	2	4	11
chr1	6514601	6514700	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	11554	NA	NA	NA	0	0	1	3	9
chr1	6515401	6515500	1.13676781312999e-06	0.54	0	Inf	6.27568911136221	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	10754	NA	NA	NA	0	1	2	5	26
chr1	6515501	6515600	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	10654	NA	NA	NA	0	1	3	6	26
chr1	6515601	6515700	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	10554	NA	NA	NA	0	1	5	8	26
chr1	6515701	6515800	4.06861177225983e-07	0.82	0.2	17.2571876056791	4.75823210160273	75.8791283588952	p36.31	FALSE	CpG: 231.chr1.6514108	TRUE	TNFRSF25	6526255	-	10454	NA	NA	NA	0	6	14	24	86
chr1	6526201	6526300	8.32566219344364e-06	0.56	0.04	29.3895276745645	4.14461948106342	1290.89682733225	p36.31	FALSE	NA	NA	TNFRSF25	6526255	-	0	TNFRSF25	6526255	-	2	5	9	16	57
chr1	7021801	7021900	2.07291887312971e-05	0.58	0.08	15.3365923875045	3.21941511521272	148.258696942975	p36.31	FALSE	NA	NA	CAMTA1	6845384	+	176416	NA	NA	NA	1	8	17	21	73
chr1	7021901	7022000	5.02770317082281e-07	0.68	0.08	23.3140167745542	4.83692789772791	227.326234636191	p36.31	FALSE	NA	NA	CAMTA1	6845384	+	176516	NA	NA	NA	0	3	8	10	39
chr1	7022001	7022100	1.84369231792933e-08	0.7	0.04	52.9295947844145	7.34845229446276	2333.76594494202	p36.31	FALSE	NA	NA	CAMTA1	6845384	+	176616	NA	NA	NA	0	1	5	9	30
chr1	7022101	7022200	1.84369231792933e-08	0.7	0.04	52.9295947844145	7.34845229446276	2333.76594494202	p36.31	FALSE	CpG: 23.chr1.7022001	TRUE	CAMTA1	6845384	+	176716	NA	NA	NA	0	1	6	8	31
chr1	7022201	7022300	1.84369231792933e-08	0.7	0.04	52.9295947844145	7.34845229446276	2333.76594494202	p36.31	FALSE	CpG: 23.chr1.7022001	TRUE	CAMTA1	6845384	+	176816	NA	NA	NA	0	1	5	7	31
chr1	7022301	7022400	1.04528056944565e-07	0.66	0.04	44.3183310391255	6.19806725629232	1950.14271495308	p36.31	FALSE	NA	NA	CAMTA1	6845384	+	176916	NA	NA	NA	0	1	4	7	27
chr1	7234801	7234900	3.07321847407899e-05	0.18	0.68	0.107433284660167	0.0293185726011711	0.353686966195124	p36.23	FALSE	NA	NA	CAMTA1	6845384	+	389416	NA	NA	NA	0	11	16	23	135
chr1	7395301	7395400	3.94334339119386e-06	0	0.4	0	0	0.158366803468476	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-435928	NA	NA	NA	1	8	12	19	34
chr1	7395401	7395500	3.94334339119386e-06	0	0.4	0	0	0.158366803468476	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-435828	NA	NA	NA	1	8	14	19	34
chr1	7395501	7395600	3.94334339119386e-06	0	0.4	0	0	0.158366803468476	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-435728	NA	NA	NA	2	9	13	19	35
chr1	7395601	7395700	1.62662914886746e-05	0	0.36	0	0	0.18979978370413	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-435628	NA	NA	NA	2	9	13	19	38
chr1	7515301	7515400	2.31480795249379e-05	0.32	0.84	0.0929853397009854	0.019840416708323	0.336135457993433	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-315928	NA	NA	NA	4	17	30	35	191
chr1	7515401	7515500	2.31480795249379e-05	0.32	0.84	0.0929853397009854	0.019840416708323	0.336135457993433	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-315828	NA	NA	NA	3	20	34	46	191
chr1	7515501	7515600	8.08969110048619e-06	0.34	0.88	0.0730277716877633	0.0122690145511107	0.292276734214185	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-315728	NA	NA	NA	5	22	32	46	186
chr1	7515601	7515700	1.67981566953498e-05	0.3	0.84	0.0848503118774741	0.0180257079397407	0.308523991263876	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-315628	NA	NA	NA	5	22	28	43	186
chr1	7515701	7515800	5.36829560209135e-06	0.28	0.84	0.0772002554211029	0.0162974542266076	0.282484406159393	p36.23	FALSE	NA	NA	VAMP3	7831329	+	-315528	NA	NA	NA	2	16	22	33	176
chr1	8277301	8277400	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	p36.23	FALSE	CpG: 63.chr1.8277195	TRUE	SLC45A1	8384390	+	-106989	NA	NA	NA	0	2	3	5	23
chr1	8277401	8277500	9.21720305307553e-06	0.48	0	Inf	4.95137396475962	Inf	p36.23	FALSE	CpG: 63.chr1.8277195	TRUE	SLC45A1	8384390	+	-106889	NA	NA	NA	0	1	3	6	16
chr1	8277501	8277600	9.21720305307553e-06	0.48	0	Inf	4.95137396475962	Inf	p36.23	FALSE	CpG: 63.chr1.8277195	TRUE	SLC45A1	8384390	+	-106789	NA	NA	NA	0	1	3	5	13
chr1	8277601	8277700	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	p36.23	FALSE	CpG: 63.chr1.8277195	TRUE	SLC45A1	8384390	+	-106689	NA	NA	NA	0	1	3	5	13
chr1	9714601	9714700	3.37249873958826e-06	0.5	0	Inf	5.36109623441605	Inf	p36.22	FALSE	NA	NA	C1orf200	9714644	-	0	PIK3CD, C1orf200	9711790, 9714644	+, -	0	3	7	11	23
chr1	10695501	10695600	2.687389561362e-05	0.12	0.6	0.0948631164974526	0.0235325631540421	0.333657588868857	p36.22	FALSE	NA	NA	PEX14	10535003	+	160497	NA	NA	NA	4	7	11	19	40
chr1	10695601	10695700	6.7535614477092e-06	0.12	0.64	0.0804126869851517	0.0196649317043697	0.284997016028248	p36.22	FALSE	NA	NA	PEX14	10535003	+	160597	NA	NA	NA	5	15	18	27	50
chr1	10695701	10695800	3.07321847407899e-05	0.18	0.68	0.107433284660167	0.0293185726011711	0.353686966195124	p36.22	FALSE	NA	NA	PEX14	10535003	+	160697	NA	NA	NA	4	14	23	31	62
chr1	12239201	12239300	1.38541752840361e-06	0.52	0	Inf	5.80115612597983	Inf	p36.22	FALSE	NA	NA	TNFRSF1B	12227060	+	12140	NA	NA	NA	0	2	5	7	22
chr1	12239301	12239400	1.13676781312999e-06	0.54	0	Inf	6.27568911136221	Inf	p36.22	FALSE	NA	NA	TNFRSF1B	12227060	+	12240	NA	NA	NA	0	1	4	7	22
chr1	12239401	12239500	1.13676781312999e-06	0.54	0	Inf	6.27568911136221	Inf	p36.22	FALSE	NA	NA	MIR4632	12251762	+	-12261	NA	NA	NA	0	1	4	7	22
chr1	12239501	12239600	1.13676781312999e-06	0.54	0	Inf	6.27568911136221	Inf	p36.22	FALSE	NA	NA	MIR4632	12251762	+	-12161	NA	NA	NA	0	2	5	11	24
chr1	12239601	12239700	2.39424021943811e-05	0.44	0	Inf	4.21432383740927	Inf	p36.22	FALSE	NA	NA	MIR4632	12251762	+	-12061	NA	NA	NA	0	3	5	11	43
chr1	14140101	14140200	1.38541752840361e-06	0.52	0	Inf	5.80115612597983	Inf	p36.21	FALSE	NA	NA	PRDM2	14026735	+	113365	NA	NA	NA	0	4	6	10	45
chr1	14140201	14140300	3.76868150713644e-07	0.56	0	Inf	6.78990287815956	Inf	p36.21	FALSE	NA	NA	PRDM2	14026735	+	113465	NA	NA	NA	0	4	5	10	44
