chr	start	end	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band.	CpGi	DM.island.	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir	norm.700.reads.min	norm.700.reads.25q	norm.700.reads.med	norm.700.reads.75q	norm.700.reads.max	tumor.700.reads.min	tumor.700.reads.25q	tumor.700.reads.med	tumor.700.reads.75q	tumor.700.reads.max
chr1	44873601	44873700	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p34.1	FALSE	CpG: 243.chr1.44871109	TRUE	RNF220	44870960	+	2640	RNF220	44870960	+	0	1	3	7	64	0	14.5	28	43.25	286
chr1	44873701	44873800	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p34.1	FALSE	CpG: 243.chr1.44871109	TRUE	RNF220	44870960	+	2740	RNF220	44870960	+	0	1	4	6	64	0	15.25	32.5	40.75	285
chr1	44873801	44873900	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p34.1	FALSE	CpG: 243.chr1.44871109	TRUE	RNF220	44870960	+	2840	RNF220	44870960	+	0	0	4	6	64	0	15.25	29	40.75	265
chr1	44873901	44874000	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p34.1	FALSE	CpG: 243.chr1.44871109	TRUE	RNF220	44870960	+	2940	RNF220	44870960	+	0	0	4	6	64	0	14.5	28.5	39.75	260
chr1	46956801	46956900	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p33	FALSE	CpG: 175.chr1.46954793	TRUE	DMBX1	46972668	+	-15767	NA	NA	NA	0	2	3	5	20	1	16.25	26	38	223
chr1	46956901	46957000	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p33	FALSE	CpG: 175.chr1.46954793	TRUE	DMBX1	46972668	+	-15667	NA	NA	NA	0	1	3	5	14	1	17	27	39.5	212
chr1	46957001	46957100	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p33	FALSE	CpG: 175.chr1.46954793	TRUE	DMBX1	46972668	+	-15567	NA	NA	NA	0	1	2	4	14	1	18	26	35	206
chr1	46957101	46957200	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p33	FALSE	NA	NA	DMBX1	46972668	+	-15467	NA	NA	NA	0	1	2	4	14	1	15.25	23.5	33	168
chr1	47905101	47905200	2.70319611470623e-10	0.9	0.16	42.9965611963169	9.85599884808215	250.15724030789	p33	FALSE	CpG: 268.chr1.47902793	TRUE	FOXD2	47901689	+	3411	FOXD2, FOXD2-AS1	47901689, 47900313	+, -	2	7	10	19	75	6	24.25	53.5	81.75	322
chr1	47909301	47909400	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p33	FALSE	NA	NA	FOXD2	47901689	+	7611	NA	NA	NA	0	1	3	6	46	3	15	26.5	41	245
chr1	47909401	47909500	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	p33	FALSE	NA	NA	FOXD2	47901689	+	7711	NA	NA	NA	0	2	5	12	35	3	27	41	62.75	329
chr1	47909501	47909600	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	p33	FALSE	NA	NA	FOXD2	47901689	+	7811	NA	NA	NA	0	3	7	10	18	4	34.5	50	82.75	465
chr1	47909601	47909700	1.12218101162988e-09	0.88	0.16	35.4115684274262	8.47541001348151	195.009174387575	p33	FALSE	NA	NA	FOXD2	47901689	+	7911	NA	NA	NA	0	3	6	10	19	2	40.5	63.5	104.25	504
chr1	47909701	47909800	5.62621314306073e-11	0.92	0.16	54.1409063698094	11.6839034885156	344.496378038746	p33	FALSE	NA	NA	FOXD2	47901689	+	8011	NA	NA	NA	0	3	7	12	24	2	38	73.5	120.25	576
chr1	47909801	47909900	1.31213077278583e-12	0.96	0.16	108.188023748237	18.1160003092172	1287.89228638198	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8111	NA	NA	NA	0	3	8	15	32	2	38.25	76.5	118.75	597
chr1	47909901	47910000	1.31213077278583e-12	0.96	0.16	108.188023748237	18.1160003092172	1287.89228638198	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8211	NA	NA	NA	0	3	7	16	32	2	42	73.5	113.5	583
chr1	47910001	47910100	1.31213077278583e-12	0.96	0.16	108.188023748237	18.1160003092172	1287.89228638198	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8311	NA	NA	NA	0	3	7	16	28	2	41	71.5	110.5	570
chr1	47910101	47910200	1.31213077278583e-12	0.96	0.16	108.188023748237	18.1160003092172	1287.89228638198	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8411	NA	NA	NA	0	3	6	10	24	2	36.25	66.5	110	574
chr1	47910201	47910300	1.83614313855886e-14	0.92	0.04	229.908012810991	26.8305741529044	10509.9829087958	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8511	NA	NA	NA	0	3	5	9	24	0	35.75	58.5	99.25	493
chr1	47910301	47910400	4.51638261392762e-16	0.92	0	Inf	44.5331061853533	Inf	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8611	NA	NA	NA	0	3	4	6	42	0	33.5	52	86	384
chr1	47910401	47910500	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8711	NA	NA	NA	0	2	4	8	41	2	25	46	77	387
chr1	47910501	47910600	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8811	NA	NA	NA	0	1	3	7	19	3	24	48	82.25	362
chr1	47910601	47910700	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	8911	NA	NA	NA	0	1	3	7	18	3	23.25	60.5	87.25	408
chr1	47910701	47910800	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	9011	NA	NA	NA	0	2	3	7	18	3	20.25	58.5	94.25	406
chr1	47910801	47910900	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	9111	NA	NA	NA	0	1	3	7	18	3	20	53	87.5	375
chr1	47910901	47911000	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	p33	FALSE	CpG: 110.chr1.47909712	TRUE	FOXD2	47901689	+	9211	NA	NA	NA	0	1	3	7	18	3	22	50.5	86	357
chr1	47911001	47911100	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	p33	FALSE	NA	NA	FOXD2	47901689	+	9311	NA	NA	NA	0	1	3	4	22	2	21	44	77.25	314
chr1	47911101	47911200	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p33	FALSE	NA	NA	FOXD2	47901689	+	9411	NA	NA	NA	0	1	2	4	11	1	16.25	34	64	262
chr1	50513901	50514000	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p33	FALSE	CpG: 71.chr1.50513644	TRUE	ELAVL4	50513686	+	214	ELAVL4	50513686	+	0	3	5	15	27	1	16	25	49.25	242
chr1	50880801	50880900	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	8218	NA	NA	NA	0	3	6	10	27	0	11.25	20.5	38.5	123
chr1	50880901	50881000	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	8118	NA	NA	NA	0	4	6	12	27	2	13	22.5	44.25	130
chr1	50881001	50881100	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p32.3	FALSE	CpG: 43.chr1.50880916	TRUE	DMRTA2	50889119	-	8018	NA	NA	NA	0	4	8	11	27	2	21	30.5	51	162
chr1	50881101	50881200	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	p32.3	FALSE	CpG: 43.chr1.50880916	TRUE	DMRTA2	50889119	-	7918	NA	NA	NA	0	6	8	11	21	8	22.25	32.5	56.25	166
chr1	50881201	50881300	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	p32.3	FALSE	CpG: 43.chr1.50880916	TRUE	DMRTA2	50889119	-	7818	NA	NA	NA	0	5	7	11	17	6	23.25	32	51.5	165
chr1	50881301	50881400	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	p32.3	FALSE	CpG: 43.chr1.50880916	TRUE	DMRTA2	50889119	-	7718	NA	NA	NA	0	4	6	10	18	6	23	31	52.5	186
chr1	50881401	50881500	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p32.3	FALSE	CpG: 43.chr1.50880916	TRUE	DMRTA2	50889119	-	7618	NA	NA	NA	0	2	6	9	16	5	20.25	30.5	50.75	148
chr1	50881501	50881600	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	7518	NA	NA	NA	0	2	5	8	17	5	16	26	48.25	171
chr1	50881601	50881700	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	7418	NA	NA	NA	0	2	5	9	19	4	20.25	31.5	54.5	221
chr1	50881701	50881800	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	7318	NA	NA	NA	0	3	5	9	19	4	18	30	51.25	209
chr1	50881801	50881900	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	7218	NA	NA	NA	0	1	4	7	18	3	18	28	44.75	213
chr1	50881901	50882000	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p32.3	FALSE	CpG: 21.chr1.50881884	TRUE	DMRTA2	50889119	-	7118	NA	NA	NA	0	2	3	8	21	4	18.25	26.5	39.5	212
chr1	50882001	50882100	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p32.3	FALSE	CpG: 21.chr1.50881884	TRUE	DMRTA2	50889119	-	7018	NA	NA	NA	0	1	3	6	25	3	14	27.5	44.75	218
chr1	50882101	50882200	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	6918	DMRTA2	50889119	-	0	2	4	6	21	3	15	31	52.5	225
chr1	50882801	50882900	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	6218	DMRTA2	50889119	-	0	0	2	7	11	0	15	28.5	54.5	200
chr1	50882901	50883000	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	6118	DMRTA2	50889119	-	0	0	2	6	11	0	14	25.5	46	196
chr1	50883001	50883100	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p32.3	FALSE	CpG: 36.chr1.50882997	TRUE	DMRTA2	50889119	-	6018	DMRTA2	50889119	-	0	0	4	7	15	0	20.25	40.5	63.5	294
chr1	50883101	50883200	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p32.3	FALSE	CpG: 36.chr1.50882997	TRUE	DMRTA2	50889119	-	5918	DMRTA2	50889119	-	0	1	4	9	18	0	21.25	44	71	319
chr1	50883201	50883300	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p32.3	FALSE	CpG: 36.chr1.50882997	TRUE	DMRTA2	50889119	-	5818	DMRTA2	50889119	-	0	1	4	10	15	0	20.25	43.5	72	323
chr1	50883301	50883400	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p32.3	FALSE	CpG: 36.chr1.50882997	TRUE	DMRTA2	50889119	-	5718	DMRTA2	50889119	-	0	1	5	10	15	0	20	43.5	69.25	328
chr1	50883401	50883500	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	5618	DMRTA2	50889119	-	0	1	5	12	19	1	21	45	70.75	309
chr1	50883501	50883600	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	5518	DMRTA2	50889119	-	0	1	5	10	19	1	20.25	40	66.25	246
chr1	50886601	50886700	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p32.3	FALSE	CpG: 480.chr1.50884228	TRUE	DMRTA2	50889119	-	2418	DMRTA2	50889119	-	0	1	4	9	21	0	13.5	37.5	73.75	351
chr1	50892301	50892400	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-3181	DMRTA2	50889119	-	0	1	3	5	22	0	12	21.5	35	123
chr1	50892401	50892500	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-3281	DMRTA2	50889119	-	0	1	5	8	29	0	14.25	26.5	40	155
chr1	50892501	50892600	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3381	DMRTA2	50889119	-	0	1	5	8	29	1	16.25	32.5	47.25	209
chr1	50892601	50892700	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3481	DMRTA2	50889119	-	0	2	6	8	33	1	18.25	32.5	51.5	216
chr1	50892701	50892800	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3581	DMRTA2	50889119	-	0	1	6	8	32	1	16	34	52.5	217
chr1	50892801	50892900	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3681	DMRTA2	50889119	-	0	1	7	9	33	1	19.5	36.5	67.25	267
chr1	50892901	50893000	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3781	DMRTA2	50889119	-	0	1	6	8	30	1	22.25	40.5	68.75	290
chr1	50893001	50893100	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3881	DMRTA2	50889119	-	0	1	4	8	17	1	23	39.5	64	257
chr1	50893101	50893200	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p32.3	FALSE	CpG: 60.chr1.50892437	TRUE	DMRTA2	50889119	-	-3981	DMRTA2	50889119	-	0	1	3	8	15	1	17.5	33	68.5	256
chr1	50893201	50893300	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-4081	DMRTA2	50889119	-	0	1	2	4	14	0	19.5	35	60.5	252
chr1	50893301	50893400	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-4181	DMRTA2	50889119	-	0	1	2	5	13	0	24	37.5	60	251
chr1	50893401	50893500	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-4281	DMRTA2	50889119	-	0	1	3	5	13	0	28.25	41.5	59.75	235
chr1	50893501	50893600	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p32.3	FALSE	CpG: 23.chr1.50893468	TRUE	DMRTA2	50889119	-	-4381	DMRTA2	50889119	-	0	1	2	5	14	0	25.25	40.5	65	227
chr1	50893601	50893700	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p32.3	FALSE	CpG: 23.chr1.50893468	TRUE	DMRTA2	50889119	-	-4481	DMRTA2	50889119	-	0	1	3	7	13	0	21	33.5	55.5	216
chr1	50893701	50893800	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-4581	DMRTA2	50889119	-	0	1	2	8	13	1	22	31.5	47.75	210
chr1	50893801	50893900	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-4681	DMRTA2	50889119	-	0	1	3	9	12	2	17.5	32	50.5	206
chr1	50893901	50894000	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p32.3	FALSE	NA	NA	DMRTA2	50889119	-	-4781	DMRTA2	50889119	-	0	1	3	8	14	2	15	27	41	166
chr1	63785001	63785100	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2099	LINC00466, FOXD3	63782901, 63788730	-, +	0	2	4	7	23	1	23.25	36.5	66.25	294
chr1	63785101	63785200	1.04328438381729e-13	0.9	0.04	186.007702685445	22.5729925776831	8435.51344804209	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2199	LINC00466, FOXD3	63782901, 63788730	-, +	0	2	5	8	22	1	29.25	40	81.75	326
chr1	63785201	63785300	3.79115835744395e-13	0.92	0.08	113.402954996168	19.1274991067961	1342.23063421038	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2299	LINC00466, FOXD3	63782901, 63788730	-, +	0	3	7	15	27	1	35.5	59.5	97	444
chr1	63785301	63785400	5.62621314306073e-11	0.92	0.16	54.1409063698094	11.6839034885156	344.496378038746	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2399	LINC00466, FOXD3	63782901, 63788730	-, +	0	4	8	15	34	0	41.25	71	110.75	525
chr1	63785401	63785500	5.62621314306073e-11	0.92	0.16	54.1409063698094	11.6839034885156	344.496378038746	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2499	LINC00466, FOXD3	63782901, 63788730	-, +	0	5	11	16	26	0	48.75	74.5	118	555
chr1	63785501	63785600	9.72789663929904e-12	0.94	0.16	72.56878936475	14.2440780368686	566.728768919127	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2599	LINC00466, FOXD3	63782901, 63788730	-, +	0	6	11	17	26	0	52.25	82	126.25	580
chr1	63785601	63785700	8.64232869526029e-13	0.94	0.12	98.6264964921892	17.8844286158743	880.422545747013	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2699	LINC00466, FOXD3	63782901, 63788730	-, +	0	7	9	15	26	1	46.5	73	109.25	495
chr1	63785701	63785800	5.29606475441253e-12	0.92	0.12	74.388179539969	14.6567858280843	579.773902959832	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	LINC00466	63782901	-	-2799	LINC00466, FOXD3	63782901, 63788730	-, +	0	6	8	14	23	1	39.5	66.5	96.75	446
chr1	63785801	63785900	5.84452540921227e-14	0.94	0.08	149.854321798772	23.3733446697754	1925.36743253209	p31.3	FALSE	CpG: 561.chr1.63782394	TRUE	FOXD3	63788730	+	-2829	LINC00466, FOXD3	63782901, 63788730	-, +	0	6	9	15	26	1	43.5	63.5	98	454
